Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),Product 
1,EP01,36.9,2.0,5.15,450,Fumed silica,2,No,Al(OH)3,No,0.13956639566395665,2.575,72.0,40,EMT+RHO
3,EP03,36.9,2.0,5.15,250,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT+SOD
4,EP04,10.3,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.5,2.575,72.0,40,Amorphous
5,EP05,6.04,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.8526490066225166,2.575,72.0,40,Amorphous
6,EP06,9.23,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.5579631635969664,2.575,72.0,40,Amorphous
7,EP07,73.8,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.06978319783197832,2.575,72.0,40,84% LTA+ 16% RHO
8,EP08,110.7,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.04652213188798555,2.575,72.0,40,Solution
9,EP09,36.9,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT
10,EP10,36.9,0.2,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,25.75,72.0,40,solution
11,EP11,36.9,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,5.15,72.0,40,EMT
12,EP12,36.9,5.15,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.0,72.0,40,89% LTA+11% EMT
13,EP13,36.9,2.0,5.15,650,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT
14,EP14,36.9,10.3,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,0.5,72.0,40,LTA
15,EP15,44.18,2.0,5.15,450,Fumed silica,2,No,Al(OH)3,No,0.11656858306926211,2.575,72.0,40,EMT
16,EP16,36.9,0.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,10.3,72.0,40,solution
17,EP17,36.9,0.8,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,6.4375,72.0,40,EMT
18,EP18,36.9,1.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,3.4333333333333336,72.0,40,EMT
19,EP19,36.9,3.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.7166666666666668,72.0,40,86% EMT+ 14%LTA
20,EP20,36.9,4.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.2875,72.0,40,62% EMT+ 38% LTA
21,EP21,51.5,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1,2.575,72.0,40,98% EMT+ 2% LTA
22,EP22,48.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10729166666666667,2.575,72.0,40,EMT
23,EP23,40.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.12875,2.575,72.0,40,EMT
24,EP24,34.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,2.575,72.0,40,EMT
25,EP25,32.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1609375,2.575,72.0,40,EMT
26,EP26,34.0,1.6,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,3.21875,72.0,40,EMT
27,EP27,34.0,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,5.15,72.0,40,EMT
28,EP28,36.9,2.4,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,1.6666666666666667,72.0,40,56%LTA + 44% EMT
29,EP29,36.9,2.7,5.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13550135501355015,1.8518518518518516,72.0,40,64% EMT + 36% LTA
30,EP30,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,72.0,40,EMT
31,EP31,36.9,0.5,7.2,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1951219512195122,14.4,72.0,40,Solution
32,EP32,36.9,1.8,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,3.611111111111111,72.0,40,EMT
33,EP33,36.9,1.0,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,6.5,72.0,40,EMT
34,EP34,36.9,0.5,6.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.16260162601626016,12.0,72.0,40,solution
35,EP35,36.9,0.5,4.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.12195121951219513,9.0,72.0,40,Solution
36,EP36,36.9,1.5,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,5.0,72.0,40,EMT
37,EP37,36.9,2.0,3.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.0948509485094851,1.75,72.0,40,79.5% EMT + 20.5% LTA
39,EP39,36.9,0.5,3.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.0948509485094851,7.0,72.0,40,Solution
40,EP40,36.9,2.5,6.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1842818428184282,2.7199999999999998,72.0,40,EMT
42,EP42,36.9,1.8,3.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.08130081300813008,1.6666666666666665,72.0,40,EMT+LTA
43,EP43,36.9,1.0,7.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.21138211382113822,7.8,72.0,40,EMT
44,EP44,36.9,3.0,6.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.16260162601626016,2.0,72.0,40,82%EMT+18%RHO
45,EP45,36.9,2.0,8.4,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.22764227642276424,4.2,72.0,40,EMT
46,EP46,36.9,0.3,3.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.08130081300813008,10.0,72.0,40,solution
47,EP47,36.9,3.0,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,2.5,72.0,40,EMT
48,EP48,36.9,4.0,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,1.625,72.0,40,EMT+LTA
49,EP49,36.9,1.0,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,9.0,72.0,40,EMT
50,EP50,36.9,0.5,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,18.0,72.0,40,Solution
51,EP51,36.9,3.5,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,2.5714285714285716,72.0,40,EMT
52,EP52,36.9,0.5,10.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2710027100271003,20.0,72.0,40,Solution
53,EP53,36.9,1.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,6.333333333333333,72.0,40,EMT + Amorphous
54,EP54,36.9,2.5,10.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2710027100271003,4.0,72.0,40,EMT + Amorphous
55,EP55,36.9,3.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,2.7142857142857144,72.0,40,EMT + Amorphous
56,EP56,36.9,2.5,8.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.23035230352303523,3.4,72.0,40,EMT
57,EP57,36.9,1.0,12.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.3252032520325203,12.0,72.0,40,EMT + Amorphous
58,EP58,36.9,1.0,15.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.4065040650406504,15.0,72.0,40,EMT + Amorphous
59,EP59,36.9,2.5,12.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.33875338753387535,5.0,72.0,40,EMT
60,EP60,36.9,3.5,11.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.31165311653116534,3.2857142857142856,72.0,40,EMT
61,EP09L,36.9,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,35,EMT + Amorphous
62,EP11L,36.9,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,5.15,72.0,35,EMT
63,EP17L,36.9,0.8,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,6.4375,72.0,35,EMT + Amorphous
64,EP18L,36.9,1.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,3.4333333333333336,72.0,35,EMT + Amorphous
65,EP23L,40.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.12875,2.575,72.0,35,Amorphous + EMT
66,EP24L,34.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,2.575,72.0,35,EMT + Amorphous
67,EP25L,32.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1609375,2.575,72.0,35,EMT
68,EP26L,34.0,1.6,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,3.21875,72.0,35,EMT + Amorphous
69,EP27L,34.0,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,5.15,72.0,35,EMT + Amorphous
70,EP30L,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,72.0,35,EMT
71,EP32L,36.9,1.8,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,3.611111111111111,72.0,35,EMT + Amorphous
72,EP33L,36.9,1.0,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,6.5,72.0,35,Amorphous
73,EP36L,36.9,1.5,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,5.0,72.0,35,EMT + Amorphous
74,EP38L,36.9,1.0,3.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.0948509485094851,3.5,72.0,35,EMT + Amorphous
75,EP40L,36.9,2.5,6.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1842818428184282,2.7199999999999998,72.0,35,EMT + Amorphous
76,EP43L,36.9,1.0,7.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.21138211382113822,7.8,72.0,35,EMT + Amorphous
77,EP45L,36.9,2.0,8.4,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.22764227642276424,4.2,72.0,35,Amorphous
78,EP47L,36.9,3.0,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,2.5,72.0,35,Amorphous + EMT
79,EP49L,36.9,1.0,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,9.0,72.0,35,Amorphous + EMT
80,EP51L,36.9,3.5,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,2.5714285714285716,72.0,35,Amorphous
81,EP53L,36.9,1.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,6.333333333333333,72.0,35,Amorphous + EMT
82,EP54L,36.9,2.5,10.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2710027100271003,4.0,72.0,35,Amorphous
83,EP55L,36.9,3.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,2.7142857142857144,72.0,35,Amorphous
84,EP56L,36.9,2.5,8.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.23035230352303523,3.4,72.0,35,Amorphous + EMT
85,EP57L,36.9,1.0,12.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.3252032520325203,12.0,72.0,35,Amorphous
86,EP60L,36.9,3.5,11.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.31165311653116534,3.2857142857142856,72.0,35,Amorphous + EMT
87,EP09H,36.9,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,45,EMT
88,EP11H,36.9,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,5.15,72.0,45,EMT
89,EP17H,36.9,0.8,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,6.4375,72.0,45,EMT
90,EP18H,36.9,1.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,3.4333333333333336,72.0,45,EMT
91,EP23H,40.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.12875,2.575,72.0,45,EMT
92,EP24H,34.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,2.575,72.0,45,EMT
93,EP25H,32.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1609375,2.575,72.0,45,EMT
94,EP26H,34.0,1.6,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,3.21875,72.0,45,EMT
95,EP27H,34.0,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,5.15,72.0,45,EMT
96,EP30H,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,72.0,45,EMT
97,EP32H,36.9,1.8,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,3.611111111111111,72.0,45,EMT
98,EP33H,36.9,1.0,6.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1761517615176152,6.5,72.0,45,EMT
99,EP36H,36.9,1.5,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,5.0,72.0,45,EMT
100,EP38H,36.9,1.0,3.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.0948509485094851,3.5,72.0,45,EMT+LTA
101,EP40H,36.9,2.5,6.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1842818428184282,2.7199999999999998,72.0,45,EMT
102,EP43H,36.9,1.0,7.8,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.21138211382113822,7.8,72.0,45,EMT
103,EP45H,36.9,2.0,8.4,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.22764227642276424,4.2,72.0,45,EMT
104,EP47H,36.9,3.0,7.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2032520325203252,2.5,72.0,45,EMT
105,EP49H,36.9,1.0,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,9.0,72.0,45,EMT+RHO
106,EP51H,36.9,3.5,9.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.24390243902439027,2.5714285714285716,72.0,45,EMT + Amorphous
107,EP53H,36.9,1.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,6.333333333333333,72.0,45,EMT
108,EP54H,36.9,2.5,10.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.2710027100271003,4.0,72.0,45,EMT
109,EP55H,36.9,3.5,9.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.25745257452574527,2.7142857142857144,72.0,45,EMT
110,EP56H,36.9,2.5,8.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.23035230352303523,3.4,72.0,45,EMT
111,EP57H,36.9,1.0,12.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.3252032520325203,12.0,72.0,45,Amorphous
112,EP60H,36.9,3.5,11.5,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.31165311653116534,3.2857142857142856,72.0,45,EMT
113,EP30H-0h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,0.0,45,Solution
114,EP30H-3h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,3.0,45,Amorphous
115,EP30H-8.5h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,8.5,45,Amorphous
116,EP30H-13,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,13.0,45,Amorphous
117,EP30H-16.5,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,16.5,45,Amorphous + EMT
118,EP30H-20h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,20.0,45,EMT + Amorphous
119,EP30H-24h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,24.0,45,EMT
120,EP30H-48h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,48.0,45,EMT
121,EP30H-120h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,120.0,45,EMT
122,EP30H-144h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,144.0,45,EMT
123,EP30H-384h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,384.0,45,EMT
125,EP30H-11,36.9,1.0,4.0,450,TEOS,5,No,Al(OH)3,No,0.10840108401084012,4.0,72.0,45,EMT + LTA + RHO
126,EP30H-12,36.9,1.0,4.0,450,Ludox-AS40,22,No,Al(OH)3,No,0.10840108401084012,4.0,72.0,45,EMT + RHO
127,EP30H-13,44.3,1.0,4.0,450,Fumed silica,5,No,Al(OH)3,No,0.09029345372460497,4.0,72.0,45,EMT
129,EP12-1,36.9,5.15,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,1.0,72.0,40,EMT + LTA
130,EP19-1,36.9,3.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,1.7166666666666668,72.0,40,EMT + RHO
131,EP01-1,36.9,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,2.575,72.0,40,EMT + RHO
132,EP11-1,36.9,1.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,5.15,72.0,40,EMT + RHO
133,EP61,42.44,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.12134778510838833,2.575,72.0,40,EMT + RHO
134,EP62,47.97,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.10735876589535127,2.575,72.0,40,EMT + RHO
135,EP63,36.9,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,2.575,48.0,30,EMT
136,FE01,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,Amorphous
137,FE02,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,Amorphous+FAU
138,FE03,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,FAU-EMT
139,FE04,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,FAU-EMT
140,FE05,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,120.0,65,FAU-EMT
141,FE06,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,144.0,65,FAU-EMT + GIS
142,FE07,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,168.0,65,FAU-EMT + GIS
143,FE08-1,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,Amorphous + FAU-EMT
144,FE08-2,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,FAU-EMT
145,FE08-3,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,FAU-EMT
146,FE08-4,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,FAU-EMT +GIS
147,FE09-1,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,LTA
148,FE09-2,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,LTA
149,FE09-3,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,LTA
150,FE09-4,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,LTA
151,FE10-1,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,FAU-EMT
152,FE10-2,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,FAU-EMT
153,FE10-3,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,FAU-EMT
155,FE11-1,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,amorphous
156,FE11-2,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,FAU-EMT
157,FE11-3,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,FAU-EMT
158,FE11-4,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,96.0,65,FAU-EMT
159,FE12-1,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,LTA
160,FE12-2,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,LTA
161,FE12-3,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,LTA
162,FE12-4,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,96.0,65,LTA
168,FE18,10.0,0.5,2.5,173,Na2SiO3,2,No,Al(OH)3,No,0.25,5.0,24.0,65,FAU-EMT
173,FE24,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,48.0,65,amorphous
174,FE25,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,72.0,65,amorphous
175,FE27,10.0,1.0,5.0,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.5,5.0,48.0,65,FAU
176,FE28,11.0,2.0,5.0,190,Na2SiO3,2,No,Al(OH)3,No,0.45454545454545453,2.5,24.0,65,amorphous
186,FE42,10.0,0.2,1.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.1,5.0,96.0,65,clear solution
188,FE44,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,96.0,65,FAU-EMT
189,FE45,10.0,2.5,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,2.0,96.0,65,FAU-EMT
190,FE46,10.0,1.5,7.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.75,5.0,96.0,65,amorphous + FAU-EMT
191,FE47,10.0,1.25,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,2.0,96.0,65,FAU-EMT
192,FE48,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU-EMT
193,FE49,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,FAU-EMT
194,FE50,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU+GIS
195,FE51,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,SOD
196,FE52,10.0,0.5,2.5,173,Ludox-AS40,22,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU
197,FE53,10.0,0.5,2.5,173,Ludox-AS40,22,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,FAU
198,FE54,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,GIS+LTA
199,FE55,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,SOD
